Sentence,English_Translation,prefix
@pranavsapra wah! yeh to maine kabhi socha hi nahi. abhi me bhi rakhunga,@pranavsapra i never thought about this i will also use it ,translate English to Hinglish: 
"Now I am ""sure #GST sabko le dubegi. #Modiji aap kaise bachoge ? Yeh aapke khilaaf koi saajish hai. @PMOIndia",now i am sure #GST will sink everyone. #Modiji how are you going to be saved ? This is a conspiracy against you. @PMOIndia,translate English to Hinglish: 
jinx is broken .  .  .  sa ki toh keh ke le li ,),translate English to Hinglish: 
@practical_fool sarabhai vs sarbhai,@practical_fool sarabhai versus sarbhai,translate English to Hinglish: 
aise samay me hum jaise bhole logo ki bholi shakal bahot kaam aati hai ...,"in times like this, the innocent face of us innocent people is very benificial.",translate English to Hinglish: 
"@ROFLaaLa @retardedwriter mithai, koi Irani ya sweet shop mein milega",@ROFLaaLa @retardedwriteryou would get sweets in an irani or sweet shop.,translate English to Hinglish: 
Kama-Sutron ke  anusar ek video aane wala hai.https://twitter.com/iPoonampandey/status/809267178520330244 …,one video is about to come as per kama-sutra https://twitter.com/iPoonampandey/status/809267178520330244 …,translate English to Hinglish: 
@iamkits haan Bhai aur hot bhi :-D,@iamkits yes brother and hot too :-D,translate English to Hinglish: 
"HAha! Ye pyar andha hota hia bhai, ismein sab ke raaste lag jaate hai.","haha! this love is blind, brother. everyone gets into problems in this.",translate English to Hinglish: 
@sweetvismaya maha jhootha hai ye :),@SweetWisma this is a liar :),translate English to Hinglish: 
@lovejihadi Akela Modi aur Kohli bahut kuch kar sakta hein . We need to support both of them .,@lovejihadi modi and kohli alone can do very much . we need to support both of them .,translate English to Hinglish: 
shu sthiti chhe bhai tya? Tare pani nathi bharaya ne?,"what is the situation over there? water did not get collected over there, did it?",translate English to Hinglish: 
@Insane_chorri aise logo ki wajah se 'online dosti' shabd ki ahmiyat khatam ho rahi hai @DiwakarKothari_,@Insane_chorri due to these people online friendship lost its value @DiwakarKothari_,translate English to Hinglish: 
mere paas toh cycle bhi nahi chhoda hai ghar walon ne :'(,family has not even left a cycle for me,translate English to Hinglish: 
"Friday Faking Release: Ghayal (*ing Shashak Manohar, Rajiv Shukla, Anurag Thakur )http://www.fakingnews.firstpost.com/2016/04/friday-faking-release-ghayal-ing-shashak-manohar-rajiv-shukla-anurag-thakur/ …","friday faking release: ghayal (*ing shashak manohar, rajiv shukla, anurag thakur ) http://www.fakingnews.firstpost.com/2016/04/friday-faking-release-ghayal-ing-shashak-manohar-rajiv-shukla-anurag-thakur/ …",translate English to Hinglish: 
@tweeting_pal cheetah bhi peeta hai !!,@tweeting_pal cheetah also drinks !,translate English to Hinglish: 
"Mujhe paid tweet karne hai, shaadi ke paise ikatthe karne hai.",i want to tweet for money and i want to collect money for my wedding.,translate English to Hinglish: 
itni detail tujhe kha se pta chalin  ?  ?  ?,where did you find these many details? ,translate English to Hinglish: 
yes actully its 4.06 ..,"yes, actually it is 4:06",translate English to Hinglish: 
@minicnair Ankit Lal se photoshop karwayee ?,@minicnair did you get photoshop done by ankit lal?,translate English to Hinglish: 
@Lambar_Daar bhai zyada dimaag hote to kahi aur hote aaj ,),translate English to Hinglish: 
Haar aur Jeet to khel ka hissa hai. Ye wala bahut din taklif dega wo kissa hai.,winning or losing is a part of game. This story gives longterm stress,translate English to Hinglish: 
Happy MahaShivratri ... : : Deh Shiva eh bar mohe-i-hai shubh karman the kabhu na taroo Na daroo ar siyoo ... http://t.co/3PnISEtDxe,"happy mahashivratri ... : : grant me this boon oh god, may i never refrain from righteous acts, may i fight without fear all foes in life's battes ... http://t.co/3PnISEtDxe",translate English to Hinglish: 
Ya allah ap abhi tak nahi aye salman :(,"oh god salman, you did not come yet",translate English to Hinglish: 
"Bhai , tumlog Jet Airways mein baithte hi kyon ho ? We will bring #KingfisherAirlines @TheVijayMallya #MannKiBaat","Brother, why do you sit on Jet Airways? They will bring #KingfisheryRelins @ThevijayMalaya #Manankibat",translate English to Hinglish: 
"Muslim woman in Jaipur divorced through speed post. Ajeeb hai, purane zamane me kabhi kabootar bhej ke talaq to nahi hote the!","muslim woman in jaipur divorced through speed post. its weird, pigeons were never sent for divorce in old times.",translate English to Hinglish: 
@balliawalebaba hahaa.. Joke to phir bhi banaenge ,) @NSaina,translate English to Hinglish: 
@MahnooriAhmed ya alllah yeh kya kiya hahahah,"@MahnooriAhmed oh god, what did you do? hahahah",translate English to Hinglish: 
nahin bhai aur wahan rakhne se koi faida nahin .  .  .  hamein hi de do .  .  .  hum phod denge,no brother and there is no point keeping it there. . . give it to us only. . . we will burst them,translate English to Hinglish: 
guddu ki ma or baapu se puchho ise banate banate unke baayen haath ka kya haal hua hoga :v o:) 3:),"ask the parents of guddu, what would have been the condition of their left arm in the process of making him.",translate English to Hinglish: 
"Bhai shaadi aur aadhaar card jitne ho, utna achcha ","brother, marriage and aadhar card, more the better",translate English to Hinglish: 
aisa kya dekh liya subah subah?,what did you watch in the morning?,translate English to Hinglish: 
u r simply superb #garbagebin,you are simply super #garbagebin,translate English to Hinglish: 
"@YearOfRat  bhai 72 saando ko apne peeche chhoda jayega.
Sunday ka kya plan hai? Janamdin hai aur match bhi. Milo? @Alllahdin","@YearOfRat  brother 72 bulls will be released behind us.
whats the plan for sunday? birthday and also match meet? @Alllahdin",translate English to Hinglish: 
"Everybody ignores such brutal rape cases. Par jab padosi desh me hoga to aansu ""bahaenge no problem with that par apne ghar me to dekho.","Everybody ignores such brutal rape cases. But when it will happen in neighbouring country, tears will drop, no problem with that but first look at your own home",translate English to Hinglish: 
chalo jaan bachi logon ki.,Thankfully people are saved,translate English to Hinglish: 
@_SandSurfer @ghost_particle thode din baad yeh kissa savdhan india me aayega,@_SandSurfer @ghost_particle this incident will come in savdhan india after a few days,translate English to Hinglish: 
# _ _ mujhe tumpe dil agya h,# _ _ my heart has fallen for you,translate English to Hinglish: 
"salman sir plzzzz sir madat kro sir mai 4saal se aapka number dhoond raha hu sir plzz madat kro mere parivar ko aapki jarurat hai salman sir plzzzz sir....yeh mera no...hai ..,.7355458113","salman sir, please sir, help me sir, i have been trying to find your number for 4 years sir, please help, my family needs you salman sir, please sir. this is my number- 7355458113",translate English to Hinglish: 
jhootha kejri ...i don't like u,kejri you liar! i don't like u,translate English to Hinglish: 
@Beingakashss thanks bhai Tere Tweet Ka Wait Tha Mujhe,"@Beingakashss thanks man, i had waited for your tweet.",translate English to Hinglish: 
@SRKhyati @iamsrk Aaawwiee Thank you so much Baccha â¤ Kaash ise kal dekhti to aaj to meko IT mein noble prize hi mi jata ... dhat teri ki,@SRKhyati @iamsrk thank you so much son. maybe if i had seen this a while ago i would have won the nobel prize by now.,translate English to Hinglish: 
#Modi Ji Ne 104 Sattelites Chhorne Ka Kaam Kiya Aur #RahulGandhi Puncture Cycle Ko Dhakka Dene Ka Kaam Kar Rahey Hain -,#Modi sir did the work of launching 104 satellites and #RahulGandhi is doing the work of pushing a punctured cycle,translate English to Hinglish: 
@Miss_Ankiita gharwalo se baat karu ?@MentionTo,@Miss_Ankiita shall i talk to my family?@MentionTo,translate English to Hinglish: 
it needs to storm february 9th so endymion can get canceled and all the parades would then start at 7am sunday . #mardigras #nola,it needs to storm february 9th so that endymion can get cancelled and all the parades would then start at 7am on sunday . #mardigras #nola,translate English to Hinglish: 
sabke account me 15 lakh jama honewale the !,1.5 million were to be deposited in everyone's account!,translate English to Hinglish: 
#DeMonetisation aur #GST mein mera koi haath nahi hai..jo bhi beda gark hua uske liye yeh jaitly jawaabdaar hai main nahi,i don't have a hand in #DeMonetisation and #GST ..whatever was done was done by jaitly i didn't do anything,translate English to Hinglish: 
"@openmindedatma samjha nahi, human in what sense? :)","@openmindedatma did not get, human in what sense? :)",translate English to Hinglish: 
bhai aisa kya kar diya maine? LOL,"Brother, what did I do? LOL",translate English to Hinglish: 
@Miss_Ankiita Haan.. Sahi kaha.. Kuch Virar wale to subah office jaane ke liye taiyaar ho kar hi aaye hinge ,),translate English to Hinglish: 
"Keechad mein hi rehna hai toh kamal ban kar raho, suwar nahi.","if you have to live in mud only, then live like a lotus, not like a pig.",translate English to Hinglish: 
Seriously ... Kaha se aate hai ye log ... kuch bhi .. #Hilarious #Bitcoin,Seriously! From where do these people come? Anything! #Hilarious #Bitcoin,translate English to Hinglish: 
@YouDontKnowWho_ kya hogaya aisa?,@Yodontaknowhow_What happened?,translate English to Hinglish: 
humara to sunday ko bi hai exam :(,we have exam on sunday as well.,translate English to Hinglish: 
@rahulroushan @GabbbarSingh Yaar RT karne ko link pimp kiya tha woh ignore kar diya aur poori kahani ban gayi :(,"@rahulroushan @GabbbarSingh friend, i had pimped link for retweet but a whole story got written.",translate English to Hinglish: 
Aansu aa gaye.. Kya apology likha haihttps://twitter.com/Babu_Bhaiyaa/status/641204411897901056 …,Tears rolled down. What a written apology. https://twitter.com/Babu_Bhaiyaa/status/641204411897901056 ,translate English to Hinglish: 
@MANJULtoons ha ha ha...sahi kaha sir...choron ki baarat hain yahan puri :),@MANJULtoonsha ha ha ... rightly said sir ... the procession of thieves end here :),translate English to Hinglish: 
"wish you were eating @ jackie o's today ?  come to the appalachian health summit saturday for delicious jackie o's lunch ,  &amp; health workshop :)",wish you were eating @ jackie o's today ? come to the appalachian health summit saturday for delicious jackie o's lunch & health workshop.,translate English to Hinglish: 
thats mauke pe chauka ... now no more mauka mauka ads :p #indvssa #cwc15,that is like hitting four at the right opportunity. now no more ads about opportunity. #indvssa #cwc15,translate English to Hinglish: 
nazdeek kahin hota to khud mangwa leta!,if i would have been near then i would have ordered myself,translate English to Hinglish: 
kaat daala kya bhai ?,Did you cut it brother?,translate English to Hinglish: 
miss that north wali thand .  .  .  .  :( pune main toh thand he nahi hoti .  .  .  .  .  .,miss that north wali thand .  .  .  .  :( don't have cold in Pune  .  .  .  .  .  .,translate English to Hinglish: 
we did for world cup final between india and australia .  .  . kuch nahi hua .,we did for world cup final between india and australia. nothing happened,translate English to Hinglish: 
Ami tomar sathe kotha bolte chai Bhaijaan.,"I want to talk to you, brother",translate English to Hinglish: 
@clued_up_chic roopanagar premagali kholi nambar chaar sau bees,@clued_up_chic roopanagar premagali house number 420,translate English to Hinglish: 
"@Dawoodnusrat bus office he hn , Sat thora thanda hota hay kaam k point of view say you know :)","@Dawoodnusrat we are at bus office, sat is somwhat free in point of work.",translate English to Hinglish: 
@abhinashanjuman Ji ...... kya Nepal raja virendra vikram shahdev ji jaisa sasan nahi Ho sakta kya ... please advice me ..,@abhinashanjuman sir can't there be a reign like that of Nepal's king virendra vikram shahdev sir.... please advise me ,translate English to Hinglish: 
44 walo ke bure din chalu hai.. Sonia ji sambhal jaaye.. Ab bhi time haihttps://twitter.com/aajtak/status/631702828793200641 …,44 has a bad time.. sonia be careful.. even now you have time https://twitter.com/aajtak/status/631702828793200641 …,translate English to Hinglish: 
@sambha_bhilane mere pass bhi hai. It starts with 'Main dharak ko...',@sambha_bhilane i have too. it starts with 'the holder',translate English to Hinglish: 
Do se upar article dikhaoon? Bas haan bol bhai. phir dekhte hain kaun kya hai @postcard_news,should i show article above two? just say yes. then we will see who is what @postcard_news,translate English to Hinglish: 
i love u jaan mmmmuuuuuuaaaaaaahhhhh shona mera ....,i love you very much honey,translate English to Hinglish: 
getting pumped for the #niners #giants game sunday .  and i guess so it kyle williams http/URL,getting pumped for the #niners #giants game on sunday. and i guess so it kyle williams http/URL,translate English to Hinglish: 
Tujhe flight ke loye late nahi horaha?,Aren't u getting late for the flight?,translate English to Hinglish: 
@tgirishkumar Patthar Ke Phool @BeingSalmanKhan @TandonRaveena,@tgirishkumar emotionless person @BeingSalmanKhan @TandonRaveena,translate English to Hinglish: 
@InduSarabhai fake aadmi hai ye,@InduSarabhai he is a fake man,translate English to Hinglish: 
@newsflickshindi @aajtak wow i like it yaha to bahut jyada call drop hote hai,"@newsflickshindi @aajtak wow i like it, here many call drops happen",translate English to Hinglish: 
"Bhai @sardesairajdeep aajkal tumhare sitare gardish mein hain, har koi tumhari le raha hai. kam bola karo.","brother @sardesairajdeep nowadays the stars are aligned in your circle, everyone is making fun of you. speak less.",translate English to Hinglish: 
ye gana send kiya kyu ? Kisake liye ? Nahi batana #RightToPrivacy,Why sent this song? For whom? Not telling #RightToPrivacy,translate English to Hinglish: 
Oho! Galti se mistake ho gaya. #facepalmhttps://twitter.com/IndiaToday/status/748800310986960896Â â€¦,Oh! Mistake happened accidentaly. #facepalmhttps://twitter.com/IndiaToday/status/748800310986960896,translate English to Hinglish: 
bahot zor se wada nibhaya hai tune #Respect,you have kept your promise #Respect,translate English to Hinglish: 
""" Bewafa duniya mein kon sari zindagi sath de ga tera . * * Log to hathon se dafnaa kar bhool jate hain k Qabar konsi thi ......",in this disloyal world who will be at your side people forget which grave it was even after burying by their own hands,translate English to Hinglish: 
"Hello IT? Yaar computer hang hogaya hai. Restart bhi nahi ho raha_x000D_
IT: Ek baar restart kar ke dekh lo.","hello it? friend computer has got hanged. it is not even restarting_x000D_
it: try restarting once",translate English to Hinglish: 
"i'm sharing my candy with lyric ,  alena ,  dejanae and marquell tomorrow =)","i'm sharing my candy with lyric ,  alena ,  dejanae and marquell tomorrow",translate English to Hinglish: 
Jhoot bolkar logo ko gumrah kar rhe h ye software makers (9 APPS ) Ki recharge free worth 200 #Fraud lalach dekar App use krwana ...,these software makers are misguiding people to use their apps (9 APPS ) by promising fake offeres of free recharge worth 200. #Fraud tempting to use apps.,translate English to Hinglish: 
@HolySmokeee Shruti interval ke baad aayegi,@HolySmokeee shruti will come after interval,translate English to Hinglish: 
"""EK TORRENTZ KI SITE NAHI KHULEGI TO KYA TARA SINGH NAYEE PICTURE NAHI DEKHEGA..""","if one site of Torrentz doesn't open, won't tara singh see the new movie",translate English to Hinglish: 
@dramebaaz_ani bahot hi ghatiya soch,@dramebaaz_ani too much bad thoughts,translate English to Hinglish: 
kab tak contra k 2nd stage mei phasa rhega .  .  . best 1  !  !  !  !  !,until when are you going to be stuck in 2nd stage of contra. . . . best 1 !,translate English to Hinglish: 
guddu india ka lucky charm hai :d,guddu is the lucky charm of india,translate English to Hinglish: 
RT @sureshnakhua : Dear @indiatoday Kohli ne to tumhari story ki Indrani-Sheena kar di,retweet @sureshnakhua : Dear @indiatoday kohli has insulted you for your story,translate English to Hinglish: 
Online bheekh maanga amazing kaam hai kya ?,did you beg online is it amazing,translate English to Hinglish: 
@Humor_Donor bhai itne chutiye bhi nahi hai jitna tu samajta hai,"@Humor_Donor Bro, not at # as you thought",translate English to Hinglish: 
@iamGunjanGrunge yaha life waste ho rahi hai uske peeche,@Imagunjanagarunghe is getting behind life here,translate English to Hinglish: 
"""Aaj 5000 baar signature karna pada""pic.twitter.com/5yTadqHLtA",today had to sign 5000 times pic.twitter.com/5ytadqhlta,translate English to Hinglish: 
Syria ka video nahi hai. Bagal Jharkhand ka hi hai. Udhar bhi aapke papaji ki hi sarkar hai. Yahi kaam ho raha hai. Thoda akal lagaohttps://twitter.com/AndColorPockeT/status/845969312645025794Â â€¦,Syria ka video nahi hai. Bagal Jharkhand ka hi hai. Udhar bhi aapke papaji ki hi sarkar hai. Yahi kaam ho raha hai. Thoda akal lagaohttps: //twitter.com/AndColorPockeT/status/845969312645025794…,translate English to Hinglish: 
Ab iss par bhi outrage karenge loghttps://twitter.com/emilyford1/status/744859040627437568 …,people will again get outraged by this. https://twitter.com/emilyford1/status/744859040627437568 …,translate English to Hinglish: 
"Tu kisi rail si guzarti hai, main kisi passenger sa ghus jaata hu.","You pass like a train, I enter like a passenger.",translate English to Hinglish: 
haha maja aa gaya me aise hi karta tha bachpan yaad aa gaya :),oh. so fun. i used to do the same things when i was a kid.,translate English to Hinglish: 
"RG : Mom mujhe budget budget khelna hai Mom : Beta , tumhare women empowerment khelneke din hai RG : yaay ! ringa ringa roses #RahulOnLeave","RG : Mom I want to play ""budget budget"" mom : son ,now its the time to play women empowerment. RG: yaay ! ringa ringa roses #RahulOnLeave",translate English to Hinglish: 
"@retardedwriter :D Meri googly hogayi thi, 2 din tak has raha tha iss par","@retardedwriter i was so confused, i kept laughing on this for 2 days",translate English to Hinglish: 
chitra ki kunnjiya .  .  .  .  . hahahaha so funny yar,key of chitra .  .  .  .  . hahahaha so funny bro,translate English to Hinglish: 
"Indians: Ghar ki murgi daal barabar

Spaniards: Ghar ki murgi Na-dal barabar

",indians: we don't repect things which we have spaniards: same here,translate English to Hinglish: 
"50 din ho gaye sir, ek do ATM to chalu kar do @narendramodi ","it has been 50 days sir, open atleast one or two atm's. @narendramodi",translate English to Hinglish: 
@GhantaGuy is rishtewaad se azaadi,@Gantagay freedom from relations,translate English to Hinglish: 
faisal bhai purana hai ye to :p,"faisal brother, this is old",translate English to Hinglish: 
Salman bhai apke 50000 comments pure hone bale hai.,salman brother your 5000 comments are getting nearer now,translate English to Hinglish: 
"Musibat ghode pe chadd ke aati hai, aur jaati paidal hai. Hmm Sidhu Ji, that totally made sense. #RRvMI","Trouble comes to the rods on the horse, and the pedestrian is the pedal. Hmm Sidhu ji, Totally Made Sense. #Raravami",translate English to Hinglish: 
"Mann ki baat, selfie ke saath. #1YearOfModi","talk of contemplation, with selfie. #1YearOfModi",translate English to Hinglish: 
"Hey @ArvindKejriwal, is bhookamp ke piche bhi BJP ka haath hoga, haina?","hey @ArvindKejriwal, BJP must be responsible for this earthquake as well, right?",translate English to Hinglish: 
"@sagarcasm kuch nahi, anti tweet jaisa tha. ","@sagarcasm nothing, it was like an anti tweet.",translate English to Hinglish: 
@Alllahdin ye kathor sachchai sirf Pinki ne accept kiya hai. #Respect,@Alllahdin Only Pinki has accepted this hard truth. #Respect,translate English to Hinglish: 
even though i already know how it ends .  .  .  im watching the cmas tomorrow just to see blake drunk,even though i already know how it ends .  .  .  i am watching the cmas tomorrow just to see blake drunk,translate English to Hinglish: 
"Do dilli wale out ho nahi rahe , aur inhe Kashmir chahiye BC -_- #IndvsPak",they cannot out two delhi people and they want kashmir #IndvsPak,translate English to Hinglish: 
tu aur bhai ki line kaat de  @huh_watnow,you cut the line of brother @huh_watnow,translate English to Hinglish: 
AAPtards ke 15 lakh nahi allot hue Budget me.. Aww.. Ab chaati peet peet ke ro saalo,"aaptards' 15 lac rupees have not been allotted in the budget, aww, now cry badly.",translate English to Hinglish: 
@PriyancaBajaj kya likha tha? Bahot pi li thi miss hua hoga,@PriyancaBajaj what did you write? i was drunk a lot must have missed,translate English to Hinglish: 
@ShrrinG chane ka jhaad itna bhi strong nahi @Sharanyashettyy @c_aashish @Bodhisatvaa,@ShrrinG gram's bush is not so much strong @Sharanyashettyy @c_aashish @Bodhisatvaa,translate English to Hinglish: 
"haha, bahot hi ghatiya naam diya hai","haha, this is very weired name",translate English to Hinglish: 
@PureNautanki #InstaNever but mujhe BBM se uda ke acha nahi kiya tha,@PureNautanki #InstaNever but you didn't do good by removing me from blackberry messenger,translate English to Hinglish: 
@Nomadic_Soul_ toh phir kya hua aankhon ko?,@Nomadic_Soul_ then what happened to your eyes?,translate English to Hinglish: 
.@OfficeOfRG bhai bohot ho gayee bakar bakar.. Jaa so ja.. Uth ke mummy bournvita pilaegi,. @ Offisorg Bhai Bohot gone Bakar Bakar .. go to sleep .. wake up mom will feed Bournvita,translate English to Hinglish: 
"Yes, songs like sarakyi lo takiya jaada lage.https://twitter.com/Fact/status/811496161420967936 …","yes, songs like shift the pillow i am feeling cold.https://twitter.com/Fact/status/811496161420967936 …",translate English to Hinglish: 
"Ruk jaa, aur dekhna zaroor.
Jose, I know!","wait and see, please. jose, i know.",translate English to Hinglish: 
lo beta.. Sehwag ka naam liya aur boundary.. Yehi to magic hai ji,Take son .. took the name of Sehwag and the boundary .. this is the magic,translate English to Hinglish: 
"""lavaange poora Kashmir lavaange, Pakistan ka Kashmir...LAVAANGE"" 
- English speaking Bilawal Bhuttohttps://twitter.com/realDonaldTrump/status/746272130992644096 …","""will bring whole kashmir, pakistan's kashmir .. will bring"" 
- english speaking bilawal bhuttohttps://twitter.com/realDonaldTrump/status/746272130992644096 …",translate English to Hinglish: 
Beta tum aao 2019 me vote mangane 0 Aisi lal kar denge tumhari na dikha paoge na kuch laga paoge 0 Shame on #RahulGandhi #ShameOnRahulGandhi #Congress #WEF 18 #Davos,child you come in 2019 asking for votes we will make it red such that you neither won't be able to show nor able to put something on it shame on #RahulGandhi #ShameOnRahulGandhi #Congress #WEF 18 #Davos,translate English to Hinglish: 
"And jo tumhe achcha rapper boltay hain,
Who lie kartay hain https://twitter.com/onlybabasehgal/status/697280613586333697 …","those who call you a good rapper,
 lie https://twitter.com/onlybabasehgal/status/697280613586333697Â â€¦",translate English to Hinglish: 
"#IndvsPak - Umesh Yadav to harsh bhogle - Pressure banane ka kaam Shami ne achcha kiya , mujh se to ho nahin paya .","#IndvsPak - Umesh Yadav to harsh bhogle - shami did a good job of making pressure, i could not have done it.",translate English to Hinglish: 
"Home alone half . of april & I swear to God , not throwing anymore parties . Sale Kanjar daroo peekar nikal jate hai , safai mujhe karni padti hai","home alone for half of april and i swear to god that i am not throwing anymore parties. these bedouins drink and leave, i am the one who has to do the cleaning.",translate English to Hinglish: 
@huh_watnow tumhare haath ka to hum zeher bhi kha lenge,@huh_watnow i will even dink poison from your hands,translate English to Hinglish: 
"Koi Bhi #Scheme Ho Ya #Scam Ho "" Jab Puri Duniya Uski Baat Karne Lage Tab Samaj Jana Ke Bahar Niklne Na Time Aa Gaya Hai","let it be any #Scheme or #Scam "" when the whole world starts talking about it, then understand that it is time to come out",translate English to Hinglish: 
"@anilchawhan hahaha, woh bhi sach hai","@anilchawhan hahaha, that is also the truth",translate English to Hinglish: 
PM Modis speed of implementing policies is like a bullet train : Japanese PM Shinzo Abe https://t.co/LNvJPohXn7,PM Modis speed of implementing policies is like a bullet train : Japanese PM Shinzo Abe https://t.co/LNvJPohXn7,translate English to Hinglish: 
guddu me talent to haiii :),guddu has got talent,translate English to Hinglish: 
RT indiaforums : #MahaShivratri Celebration In Hum Hai Naa HumHainNaa_Sony SonyTV _kanwardhillon http://t.co/DYA66CbxtK,RT indiaforums: #MahaShivratri Celebration In we are here HumHainNaa_Sony SonyTV _kanwardhillon Http://tiksio/dyaa66crbkshtk,translate English to Hinglish: 
"@melotus toh porn bhi hua, chalo theek hai phir!","@melotus so porn is also there, then okay!",translate English to Hinglish: 
"Janemon Full Mp3 Song Free Download Herogiri Movie Benny Dayal , Dipali Sathe http://t.co/ocse9u25PF","free download of ""janemon"" full mp3 song from movie ""herogiri""  sung by benny dayal , dipali sathe at given link http://t.co/ocse9u25pf",translate English to Hinglish: 
#Pakistan Ki halat to aisi h jaise Dhobi ka kutta na ghar ka na ghat ka #trump,the condition of #Pakistan is like washerman's dog can be neither of home nor riverside #trump,translate English to Hinglish: 
"#MahaShivratri pe doodh waste na karne wale , plz bataye ki cake pe candle laga ke phoonk maarne mein kya Logic hai ??? :-D #","thoes who don't waste milk in #MahaShivratri , please tell the logic behind sticking candles on the cake and blowing them off ??? :-D",translate English to Hinglish: 
Is chinese virat kohli ko chalta karo yaar.,get rid of this chinese virat kohli,translate English to Hinglish: 
@UniqueIdiot_ CHOLI KE PEECHE KYA HAI ?,@UniqueIdiot_ what is behind the bodice ?,translate English to Hinglish: 
@Itsmy_rule nahi hai bhai birthday,"@Itsmy_rule no brother, it's not my birthday",translate English to Hinglish: 
congres ne apni gandi rajneeti k liye desh ke economy k sath dhoka kiya .  .,The Congress betrayed the country's economy for its dirty politics. .,translate English to Hinglish: 
kaise main aau? Dil razamand hai,how to come in? heart is agreeable,translate English to Hinglish: 
@Ra_Bies Sir aaj mat roko kal monday hai,@Ra_bs sir don't stop today tomorrow is dead,translate English to Hinglish: 
@knv519 Whew ! Suddenly ... yaha bhi bahut hot yaar !,@knv519 whew ! suddenly it is hot here also!,translate English to Hinglish: 
aaj aapiye sirf rayta piyenge @MeetUunngLee @meetdspartan @Ankita_Shah8 @ArvindKejriwal,today you'll only drink raita@MeetUunngLee @meetdspartan @Ankita_Shah8 @ArvindKejriwal,translate English to Hinglish: 
@tearejoice kya hall hai,@tearejoice what's up,translate English to Hinglish: 
Bas bahot khaali baitha tha.,The bus was sitting empty.,translate English to Hinglish: 
Adam Milne be like 'Daawat ke liye bulaya tha kuch khaana hi nahi bacha',adam milne be like ‘called for a party but no food was left’,translate English to Hinglish: 
.@NilimDutta bhai tu jail se kab aaya ?,"@NilimDutta brother, when did you came back from jail ?",translate English to Hinglish: 
"thand kitni bhi ho ,  cycle race jarur hoti thi :-p","however cold it might be, cycle race indeed used to happen",translate English to Hinglish: 
kamchor insan beggar wajah ke bheekh magta hai.,lazy man begs with weak reasons.,translate English to Hinglish: 
"@KyaUkhaadLega LOL, setting mein toh lage huwe hai ye @Being_Humor bhai. Bhaot hi zoron se","@KyaUkhaadLega LOL, trying for the setting @Being_Humor brother. by high try.",translate English to Hinglish: 
Khandan ke baare mein hi puchna tha toh sirf Indira kyu @sardesairajdeep? RaGa ka dimaagi ilaaj kab kara rahe ho ye bhi puch leta.,if you wanted to ask about my family why you just asked about indira@sardesairajdeep? you could have also asked about when we are treating raga for mental illness.,translate English to Hinglish: 
"Yaar @udaychopra bore ho raha hai, ek film bana de.","Dude @udaychopra he is feeling bored, make one film.",translate English to Hinglish: 
#kohli nahi hota tujhse chase .....,#kohli you cant chase,translate English to Hinglish: 
@jalanpurvi @StarMoviesIndia i wish ke aap aur main ye contest jeete,@Jalampurvi @StarMovieIindia i wish that you and i won this contest,translate English to Hinglish: 
"Kaun hai yeh log, kahaan se aate hai yeh log?https://twitter.com/AliSohrab007/status/908209693629272064 …","who are these people, where do they come from?https://twitter.com/alisohrab007/status/908209693629272064â â€¦",translate English to Hinglish: 
@micky864 aur kiski baat kar raha hun,@micky864 i am talking about someone else.,translate English to Hinglish: 
guddu aur mai .  .  .  .  . have done more than 95% things similar .  love you bro for reminding my childhood .,guddu and me have done more than 95% things similar. love you brother for reminding my childhood .,translate English to Hinglish: 
message me . would probably be able to help you out .,message me. I would probably be able to help you out .,translate English to Hinglish: 
calcutta bhi aao yaar .  .  . yaha bhi to book fair hota hai,come to calcutta also . . book fair also happens here,translate English to Hinglish: 
"our @someUSER 15 celebration continues with this long interview with jim white ,who plays sat .at cats cradle for yr15 .http/URL","our @someUSER 15 celebration continues with this long interview with jim white ,who plays sat .at cats cradle for yr15 .http/URL",translate English to Hinglish: 
omg the music video comes out tomorrow !  btw i still can't get over harry's voice :') http/URL,"Oh my god, the music video comes out tomorrow! By the way, I still cannot get over harry's voice :)",translate English to Hinglish: 
aur head sir ki burayi kaun karega . . ? ? :p,who will make fun of the head sir?,translate English to Hinglish: 
Canada ka PM bhi Kejriwal haihttps://twitter.com/EconomicTimes/status/709012421751377921 …,canada's prime minister is also kejariwal. https://twitter.com/EconomicTimes/status/709012421751377921 …,translate English to Hinglish: 
"@SemperFiUnited sab par haq mat jata, thode chhod de yahan bhi. Let's respect the bro codes!",@SemperFiUnited leave something to work. let's respect the bro codes!,translate English to Hinglish: 
3rd mariah song of the night and nooooooooo .  that was so bad .  #xfactor,3rd mariah song of the night and no.  that was so bad .  #xfactor,translate English to Hinglish: 
"Hamein aur jeene ki khwahish hoti, agar tum na hote.","i would have wanted to live more, if not for you.",translate English to Hinglish: 
@iamGunjanGrunge nahi. Udhaar maaf nahi hoga.. Paise poore dena padenge.. Tumhe Cercei Lannister ki kasam,"@iamGunjanGrunge no, debt won't be forgiven, you have to return all the money..",translate English to Hinglish: 
@tweeting_pal woh hamesha hoti hai,@tweeting_pal She is always there.,translate English to Hinglish: 
congrats. Aaj se pahle mera bhi same tha. Kal try karna,congrats. before today i too had same. try tomorrow,translate English to Hinglish: 
HINDUSTAN ZINDABAD THA. ZINDABAD HAI. AUR ZINDABAD RAHEGA !! #IndvsPak,Hail India,translate English to Hinglish: 
