sentence,english_translation
Ye jism jaanta hai toh sirf bhoot.,my soul only knows ghost
"@AazadPanchhi dard is like paise, aaj hai kal nahi. Tension nahi lene ka","@Azadpanchhi  pain is like rupees, today it is ..tomorrow it will not.  Don't worry"
long princeton (and diggy) #imagine : happy valentine's day (yn) .  .  .  february 14 it's been 9 m http/URL via @someUSER,"long princeton and diggy #imagine, happy valentine's day.  february 14 it has been 9 months http/URL via @someUSER"
Dekho inhe ye hai... auns ki boondein... hu hu huhttps://twitter.com/ashutosh83B/status/735395217306570752 …,look here they are… drops of mist…hu hu hu https://twitter.com/ashutosh83B/status/735395217306570752 …
bhaiya where r u . i can't spot u .......,"brother, where are you? I cannot spot you."
@LoKarloUnfollow oh.. Phir to kuch soch samaj ke hi kaha hoga @bizzarebhide,@LoKarloUnfollow oh.. might have said after thinking only @bizzarebhide
RT @sudhirchaudhary : Good to see Manoj Kumar at the centrestage once agn ! The original Bharat Kumar who brought patriotism to IndianCinema h,RT @sudhirchaudhary : Good to see Manoj Kumar at the centrestage once again! The original Bharat Kumar who brought patriotism to IndianCinema.
@mukkulsharma bilkul daaru ko haath nahi lagai hai,@mukkulsharma have never touched alcohol
@Dishasatra @Ra_Bies aise har pagal insaan ko lagta hai woh pagal nahi hai. You are Disha Awasthi.,@Dishasatra @Ra_Bies every mad person feels that he is not mad. You are Disha Awasthi.
"A colleague in office concerned about Kashmir, ""roz ke jhamele se acha hai Pak ko de do""

Han bhai, taaki kal dilli me bhi jhamele shuru ho!","a colleague in office concerned about kashmir says ""give kashmir to pak to avoid future issues"". this will result in issues at delhi in future."
"@sunilbmore hoye, asach raag aala hota.","@sunilbmore yes, i was angry just like this"
kachhua sir toh students ke pakke wale dushman hain .......:@,kachhua sir is an enemy of the students .....
@bhaiyyajispeaks @MrsGandhi @narendramodi Bhai . Agreement MMS ke time me negotiate hua . Chattbhai ka timing accha tha .,@bhaiyyajispeaks @MrsGandhi @narendramodi brother The agreement was negotiated at the time of mms. Chattbhai's timing was good.
Biceps 17 inchi banane ke liye kya kare.give me some tips.,what to do to make 17 inch biceps.give me some tips.
Salman bhai apke 50000 comments pure hone bale hai.,salman brother your 5000 comments are getting nearer now
@LOLendraSingh bhai seriously hota ya bas bolra, @LOLendraSingh Brother seriously or you are kidding?
"to confesser , brace ur self , cheat on bf , sleep with matka comments are coming","to confesser, brace yourself, cheat on boyfriend, sleep with matka comments are coming."
hahahahaha .  . so true .  .  .  .  i remember tetris,"hahahahaha, so truee, i do remember tetris. "
@CoupSteer 3 saal ka anter accha swasth maa majbut baccha ,)
@Bheja_frai bhai koi nahi hai,@Bheja_frai dude doesn't  have it.
hmmm bechara cute shaan  .  .  .  .  .  serious ho gya how sweet their frndship <3,"hmmm poor cute shan. . . . .  got serious, how sweet is their friendship <3
"
@MeetUunngLee tu do hafte pehle bhi milne wala tha,@MeetUunngLee you were supposed to meet me 2 weeks back.
"India mein waise dating scene kam ""hai usme #GST ne restaurants ke rate badha ""diye ab kya bole #modi ko?",already the number of people dating in india are less and over that #GST has increased the prices in restaurants. what do we say to #modi now?
sarah g .  day last sunday !  !  monday !  !  tuesday !  !  wednesday !  !  & xempre ngaung thursday !  !  kip it up poptsers !  ! &lt,3
guddu ki hi nhi gharwaalon ki bhi class laga di .......,they not only lectured guddu but including there perents too.
Hellow salman bhijaan....,hello salman brother.
Yeh climate nhi change hua hai.... hum change ho Gaye hai.... #smogindelhi,this climate did not change....we have changed....#smogindelhi
just close your eyes the sun is going down .  you'll be alright no one can hurt you now .  the morning light you and i will be safe and sound .  .  .,just close your eyes the sun is going down. you will be alright no one can hurt you now. the morning light you and i will be safe and sound.
@TrulyMonica hum Kejriwal ko vote dene walo se baat nahi karte ,) @Being_Humor
Mummy : Beta dhang ki sabziyaan khareedna seekhlo ! Future mein kaam aayega 0,Mummy : Beta learn to buy good vegetables! It will be useful in the future.
"garbage bin .  .  syllabus mein street fighter ,  tekken 3 aur kings of fighter kab include hoga ?  ?  :p :p","when in the garbage bin syllabus street fighter, tekken-3 and kings of fighter will be included?"
@PoojaMissra janta ka aakrosh hai ye... #GoodByeNitishKumar,@PoojaMissra it is people's anger... #GoodByeNitishKumar
Itne aansoo laate kahan se ho bhai?,where do you bring so much taers from?
"Aisa #surgicalstrike kiya ki #pak ne #napak irado se #ind k 2 laadle bete ka sir kaat diya "" sirf vote k liye # 56 inch ka sina kahna galat hai","#surgicalstrike was such that #pak beheaded 2 #ind sons with their #napak intensions "" saying 56 inchces chest only for the sake of votes is wrong"""
Chalo ab koi sting operation karke kisi sarkar ko nanga nahi kar sakti ... maare jaoge #RightToPrivacy,now you cannot do any sting operation and make the government feel ashmed. you wll be killed #RightToPrivacy
@MeetUunngLee pagal aurat hai,@MeetUunngLee she is a crazy lady.
m bhi  .  .  . m bhi .  .  .  katai chipak gya jabrang tareeke se,even i .. he got attached very strongly
#IndvsPak arre wo vaade ka kya hua ? kaha gayi ? Pak women's team to jeeti hi hai ! We are also waiting @QandeelQuebee,"#IndvsPak oh, waht happened to that promise? where it went? pakistan women's team already won!  we are also waiting @QandeelQuebee"
RT @AAPDelhiFeeds : Sangam Vihar - Work of laying water pipeline in Tughlakabad Extension . MLA , Dinesh Mohaniya https://t.co/NL8BAzLbaY
"""Main apne 66 MLAs leke alag party banane ke liye tayyar hoon"" 
AAP MLAs or pvt horses of Arvind Kejriwal to trade as he wants?
#AAPKaSting","""i am ready to make another party with my 66 members of legislative assembly"" 
aam aadmi party MLAs or private horses of arvind kejriwal to trade as he wants?
#AAPKaSting"
Baap ka bhe BAAP hota hey ..... Aur us Ko #PAKISTAN kehtey hain ... #surgicalstrike #Glorifyingwinningmoment ...,"Every father has their own father, and he's known as #PAKISTAN. #surgiclstrike #Glorifyingwinningmoment ..."
@friendlii_ghost Sarfaroshi ki tamanna ab hamare dil me hai,@friendlii_ghost Sarfaroshi's wish is in our hearts now
former westover hs (nc) star cj ford opens the season for murray state against brescia on november 9th at home .,former westover hs (nc) star cj ford opens the season for murray state against brescia on 9th november at home .
match hrane me guddu ka maa ka bahut bada hath hota agr guddu ke papa rokte nhi  .  .  .,"guddu’s mother would have had a big hand in the loss of the match, if guddu’s father would not have stopped it....."
"bade maje se ghuma karte the hum bhi ,  .  ,  .  ;-)",We too have roamed with lots of enjoyment
"New York Times. Lol.
Khudki naiyya jo doob ragi hai usse sambhaal lo bhai.https://twitter.com/TimesNow/status/844979794932465664 …","new york times. laughing out loud.  brother save your drowning ship .https://twitter.com/TimesNow/status/844979794932465664 …
"
@akshaykanitkar @MeetUunngLee are waah badhai @bhaiyyajispeaks,@akshaykanitkar @MeetUunngLee Oh! congratulations @ bhaiyyajispeaks
@bhaiyyajispeaks DM me dhamkiya milne lagi hai,@bhaiyyajispeaks started to receive warnings in dm
"@Gurmeetramrahim #BlockBusterMSG PitaJi , Aap Ko Bhi Mahashivratri ki Lakh Crore Badhai , Thank You PitaJi , Hame Apni Sharan Me hi Rakhna","@Gurmeetramrahim #BlockBusterMSG father, thousands of wishes of mahashivratri to you too, thank you father, keep me in your shelter."
Kingo ... Gaadi me kuch the kya ? #DilwaleOnSony https://t.co/6qoSjTDhhw,Kingo ... are there something in the vehicle ? #DilwaleOnSony https://t.co/6qoSjTDhhw
Koi @DDNational Pe bhi @Sehwa ko commentary ke liye bulao,someone call @Sehwa for commentary on @DDNational too
"F . Leag Worker Faqeer ismail soomro k bhatije ka intiqal ho gaya hai , nimaz janaza 11 : am Ko Goth Agham wasan ( near khaskhali water ) Me hogi ,","F . Leag Worker Faqeer ismail soomro's nephew has passed away, funeral prayers at 11 am will be held in Goth Agham wasan ( near khaskhali water )"
Hi @bomanirani sir Apne kaha tha remind kradana Autograph send karna hai so please send kardo .,"hi @Bomnirani sir, you said that you want to send autographs, so please send them."
"""Ye mere Pakistan se aayee hai.. Mere Pakistan se..""pic.twitter.com/gy40LVopzk","""It has come from my Pakistan .. from my Pakistan .."" back.Twitter.com / G40"
Toh phir kya karne ka time hai?,then what it's time to do?
@the_jok_er band ho ja koi birthday nahi hai,@the_jok_er shut up there's no birthday
ye toh mere saath bhi hua tha .  .,this happened with me also
hashtag kidhar hai? #GoWTwisted @happlyunmarried,where's the hashtag? #GoWTwisted @happlyunmarried
@cajetanvaz Canon. Because Canon ke haath bahut lambi hoti hai.,@cajetanvaz law. because law canreach anywhere.
#TripleTalaq Pe ban Bahot jaruri he Aaj ke zamaane me ... Galat Fayda utha rahe he Aaj kal ke log iska ...,it is important to bane #TripleTalaq nowadays ... nowadays people use it for their own advantage
"en plein visionnage de  "" shut up and play the hits !  ""  james murphy est mon dieu .  .  . ","en plein visionnage de  "" shut up and play the hits !  ""  james murphy est mon dieu .  .  . "
@huh_watnow koi bhi bhej do color screen wala,@huh_watnow send me any colour screen
matlab mujhe hi kuch karna padega.,Means only I will have to do something
@Chaitanya_13 paisa khatam ho gaya,@ Chaitanya_13 Money is over
dollar gains on euro amid greek woes: new york - the euro sagged against the dollar on thursday as the revised g .  .  .  http/URL,dollar gains on euro amid greek woes: new york - the euro sagged against the dollar on thursday as the revised g . . . http/url
@MeThePooh 2-2 diwali kismat waale hain bihar wale....  #GoodByeNitishKumar,@Mathepuh 2-2 diwali lucky people from bihar .... #GoodBenitishkumar
"Tu unke muh par thepla maar, mirchi ke saath",hit a thepla on his face with mirchi.
"@someUSER hi ashley ,  my country , south korea like the us will be the presidential election on december 19 ^^","@someUSER hi ashley, my country, south korea like the us will be the presidential election on december 19."
waah Shaadi k baad tu philosopher hogaya hai bhai. achha lag raha hai teri baatein sun kar :D,You are a philosopher after marriage. Feel good to hear your words: D
bhai ne kaha hai ki wo busy hai....6 bje tak,brother has said that he is busy till 6 o'clock
bj penn vs .  nick diaz replay on fueltv !  i'd pay to watch it a 2nd time !,bj penn vs nick diaz replay on fueltv !  i'd pay to watch it a second time !
"Yahan DM mushkil se aate hai, aur log chahte hai salary time se aajaye.","dm hardly comes here, and people want to salary to come on time."
"A neutral journalist is more like Mr Katju, so government ki bhi leta hai aur vipaksh ki bhi.","A neutral journalist is more like Mr Katju, he roasts both government and opposition"
"vote dene walon se yahi guzarish h  ,  imaandar ko vote de .  aap ko vote de","only request to those who will be voting, give vote to honest. give vote to aap"
"Aisa mat bol bhai.. India bhi WC apne hi desh me jeeti thi

RT @NaughtyDew_: Australia, Apna Gaali Mein Kutta Bhi Sher Hota Hai","don't say so brother .. india too won the worldcup in its own country
@NaughtyDew_ australia, a dog in your street is also a lion"
"Aur bhaiya do shahi paneer, teen butter naan, 8 phirni bhi saath me..pic.twitter.com/3g6sb5f9p6","and brother two shahi cottage cheese, three butter naan, 8 phirni also with it.pic.twitter.com/3g6sb5f9p6"
@Challa_SRKian ?ø?????ø???? accha hai ... school mat bhejna unkoONE MONTH FOR FAN,@Challa_SRKian this is good ... do not send them to school one month for fan
khachua sir hindi k bad maths b padhane lage ?,did khachua sir start teaching even maths after hindi?
"@Ra_Bies kal Friday hai, poori botal piyunga tumhari kasam","@Ra_Bies tomorrow is friday, will drink whole bottle, your promise."
@boogerworm I guess tumhra brain wash karne mai time lagega :p,@boogerworm I guess it will take time to do your brain wash
bhai kaun si comics ₹20 me milti hai ab ?,"brother, which comics will be available for twenty rupees now?"
#RightToPrivacy Ab dekhtha hun kaun meri Bathroom waali,#RightToPrivacy let me see now who will take the picture of me in the bathroom
@sona2905 Banarsi plus Bengali bhi to hai :)),@sona2905 both banarsi and bengali.
"@poonamkhatri ApuKalips ho ya pappu ka, in lip year sab chalta hai.","@poonamkhatri is it apu's lips or pappu's, anything works in leap year."
Patriotism mein to jeet gaye hum log....ab ye pollution se kaise jeetenge??,we won in patriotism ....but how will we win from pollution??
Refree ne paisa khaya hai.,refree has been bribed
shubham teotia ..iske number final me judenge ..lol :),shubham teotia ..his scores will be added in the end ..lol :)
"Yeh mene kya ""Kiya unhone #GST nehi liya. But mene toh #bill upload kiya",what did i do. they didn’t accept @GST. but i had uploaded my #bill
@7UPIndia ise kehte hai dhoop me baal safed karna #ChatpatakaTwist,@7UPIndia this is called making hair white in sun #ChatpatakaTwist
Mulle ne ek mulle ko bacha liya...,mullah is saved by another mullah...
teachers day m hum party krte the aur childrens day m hum se he humari party krwate the  .  .  .,we used to party on teachers day and on childrens day  aur childrens day m hum se he humari party krwate the  .  .  .
did anyone read the nyt interview with egyptian president mohamed morsi on saturday ?good read: http/URL,did anyone read the night interview with egyptian president mohamed morsi on saturday ?good read: http/URL
Sunil Narine khud hi apne baal kaatata hoga.,sunil narine probably cuts his hair himself.
ye cat level ka problem kyu diya hai ?  !,why this cat level problem is given?
@Anoushey_a pak out ho chuka hai aus r kiwi se jeetna namomkin,"@Anoushey_a pakistan is out, winning against australia and new zealand is impossible."
@Babu_Bhaiyaa @KyaUkhaadLega Sir hamara kya hoga hum bhii na haar jaaen kahi,@Babu_Bhaiyaa @KyaUkhaadLega 
"sab moh maaya hai, sab moh maaya","everything is an illusion, everything is illusory."
@IamAbhishek17 mujhe bhi bada dard hota hai... #emo,@IamAbhishek17 i also get a lot of pain. #emo
@theKumarAkshay  Pls god  mujhko tu ek baar @Raghu_Dixit se milaaa de !! I wish to meet him  #WelcomeRaghuDixit http://youtube.com/watch?v=cimKayyh7pQÂ â€¦,@theKumarAkshay  god please give me a chnace to meet @Raghu_Dixit !! I wish to meet him  #WelcomeRaghuDixit http://youtube.com/watch?v=cimKayyh7pQÂ â€¦
"""Sarkar phone call kar lijiye! Aaj Kal call rates Bohot kam ho gye hai. Some plans have free calls as well! #delhipollution #yokejrisoslow #delhiAirpollution",government please make a phone call!. nowadays the call rates have reduced a lot. some plans have free calls as well! #DelhiPollution #Okjarrisolove #DelhierPollution
kiran jiske pairon mein koi bedi nahi #AAPtoBJP,Kiran who does not have shakles in the feet #AAPtoBJP
@Miss_Ankiita bola tha tujhe chup reh @SRKswarrior1,@Miss_Ankiita told you to shut up @SRKswarrior1
the notebook may be one of the greatest movies created of all time&lt,3
our popular cm is you .   .,our popular cm is you 
RT @ShraddhaKapoor : Cine stars ki khoj in #Atsu & #Zara ! #Haider #2ndOct @tanya1ghavri http://t.co/BznIyUfZ9d,RT @ShraddhaKapoor : the search for cine stars in #Atsu & #Zara ! #Haider #2ndOct @tanya1ghavri http://t.co/BznIyUfZ9d
"Kabse iss pyaase jhagadte TL par, sense ki ek boondh tak nahi giri.",for a long time this arguing TL par haven't come to his senses yet.
Le bhai mein mootne gaya aur Virat out !! #SorryGuys,see bro I went to pee and Virat got out !! #SorryGuys
s TRUE Jo Phele Recharge Kar Chuke Hai #JIO Ka Unko Bhi 75 Rs 0 Cash Back Milega ???,"is it true that those who have had #JIO recharge done before, they will also receive 75 rs cashback?"
"@coolfunnytshirt Yaar paani ki kami hai Dilli mein aise waste na karo, Kejru case thokega tum par!","@coolfunnytshirt man, there is scarcity of water in delhi. please stop wasting it. kejriwal will file a case on you."
Dekhiye kaise #JNU mandali ne #FreedomofExpression ka majaq bana rakha hai ...,see how #JNU mandali made fun of #FreedomofExpression
today: sefton v @someUSER home 12noon - including president's day, 2nd xi v @someUSER away 12 . 45pm .  let's hope the forecast's wrong !
@iSumitt haha @runjhunmehrotra bata do isko.. Sabse pehle Wait List mera hai,@iSumitt haha @runjhunmehrotra tell him that my wait list is first.
@White_Crimes @RowdyTalks theek hai kuch achha bolna hi nahi mujhe,@White_Crimes @RowdyTalks then its okay now i don't want to talk nice
@sejaljobanputra paisa bolta hai,@sejaljobanputra money speaks
56 games he hote the saale mein .  -_-,there used to be only 56 games in it.
""" @IndiaToday : #BudgetBT Printing of Budget document begins with ' Halwa ' ceremony . http://t.co/knYuyDHBul "" oye balle !",""" @IndiaToday : #BudgetBT Printing of Budget document begins with ' Halwa ' ceremony . http://t.co/knYuyDHBul "" great!"
aur admin kaha busy ho yaar aj kal apk post k darshn durlabh ho gye h :(,"and admin, where are you busy? man, these days your posts have become rare. "
@twinitisha #Emo ho to Nitisha ke level ke.. Warna na ho,@twinitisha #Emo if have then of the level of nitisha ke level ke. otherwise should not have
@hitennarendra haha.. Saari daru paseene me nikal gayee,"@hitennarendra haha, i sweat out the entire alcohol."
@scratchysingh zindagi abhi baaki hai @Funny_Deol @friendlii_ghost,@scratchysingh life is remaning till now @Funny_Deol @friendlii_ghost
"Things blamed for rapes in India:
- Manchurian
- Condom Ads
- Ladki ne ""bhaiyya mujhe jaane do"" nahi bola
- Santoor Mom
- Falooda","Things blamed for rapes in India:
- Manchurian
- Condom Ads
- the girl did not resist
- Santoor Mom
- Falooda"
@sanjaymanjrekar bhai 25 jagah bol chuke ho same baat,@Sanjayamanjrekar brother you  have spoken same thing on 25 places
"login karne ke baad aapke account me 150 ka free recharge add ho jayegaa .  .  ,   !",after login free recharge of 150 rupees will be added to your account.
Gholo aur zeher gholo .. aaj kal #JNU me ye hi to sikhate hai .. aur waise phd kab puri hone wali hai .. Veteran students of JNU ..,"poison, poison it more. these days in #JNU this is being taught. and anyway when is the phd going to complete? veteran students of JNU "
@DuttYogi mubarak ho sir ji . Very big big congratulations . Jai mata di . Bharat mata ki jai .,"@DuttYogi congratulations sir. verg big big congratulations. all hail to mother, all hail to mother india."
teri meri ek hi kahani bhai.,you and me share the same story bro
"@BabaFirki size ke hisaab se naam rakha chahiye na, aakhir woh tera hai!","@BabaFirki one should keep the name according to size, after all it is yours!"
free dinner for everyone in highschool in edmonton at rahma mosque saturday night @ 7 its going to be fun :),free dinner for everyone in highschool in edmonton at rahma mosque saturday night at 7 its going to be fun
"Chalni karde seena..
Ek aur galti karde Carolina..","give  unbearable pain.
commit one more mistake, carolina"
"BJP lost, ok. Par Lalu jita, beyond disgusting. Is-se lakh guna accha Kejriwal jeet jaaye.",bharatiya janta party lost is ok. but lalu prasad won is beyond disgusting! millions time better would be that kejriwal wins
"Ye keede hai, inko gaali na de insaan toh aur kya kare?https://twitter.com/dna/status/854416754172362756 …","they are insects, if humans doesn't abuse them then what to do?"
"@indiantweeter @wallflower_ish he is a bloody AAP supporter, mujhe pehle hi pata tha sab mile hue hai ji","@IndiantVetter @ wallflower_ish Hey, is this bloody you supporter, I already knew everyone was alive"
""" @sonalSalmanK : SA this time India didn't waste opportunity . Chauka bhi laga aur mauka bhi le kiya #IndvsSA ""","@SonalSalamanandak: sa this time india for the day. opportunity. it took a chowk and took the opportunity #indwassa"""
"Hamein aur jeene ki khwahish na hoti, agar rum na hote...","we wouldn't have wanted to live any more, if you weren't there."
"@InglouriousBkof yahan chicks nahi kudi hai, thoda locha hai","@lngloruriousBkof there are no chicks as you told but there is a girl, there is something wrong going "
tum log dono aapas mein shaadi kar rahe ho kya?@ek_samosa_dena @Arunapk57,are you both getting married?@ek_samosa_dena @Arunapk57
"Mera dil tha akela, tune khel aisa khela, teri yaad mein paadu raat bhar...",my heart was alone. you played such a game. i stay up all night in your memories
@witchybitchygal ab jaake aaya mere bechain dil ko aaram,@witchybitchygal now comes to rest my restless heart 
"#GuessTheSong
Aao kho jaaye sitaaron mein kahin","#GuessTheSong
come lets get lost somewhere in stars"
"Pic1: Mummy dekho Mia Khalifa

Pic2: Lagta hai ab iski shaadi karwani hi padegi pic.twitter.com/TFIM3izfdl",pic1: see mom mia khalifa pic2: i think now it is time to arrange her marriage also pic.twitter.com/TFIM3izfdl
@mrjagjit ummeed hai tweets padhke ulti acchese aati hogi.,"@mrjagjit i hope after reading tweets, vomiting would be easy."
Doodhwala aagaya neend nahi.,Milkman will arrive but sleep won't
Black Suit Punjabi Video Song HD Download 2014 by Preet Harpal ft . Fateh http://t.co/zuQ8xpXttB,Black Suit Punjabi Video Song HD Download 2014 by Preet Harpal featuring Fateh http://t.co/zuQ8xpXttB
"Sir, @ArvindKejriwal @ashutosh83B @DrKumarVishwas ek nazar","Sir, @ArvindKejriwal @ashutosh83B @DrKumarVishwas one view"
"AAJ saam 8 bje news zarur dekhe "" pTA nai ky announcement ho jaae #NOTEBANDI","Must see the news today at 8 pm ""Announcement of address should be done #Notebandi"
@Amit_smiling yaar sab ek hi hai,@Amit_smilling all are one freind.
NY Times me bhi AAP wale hainhttps://twitter.com/timesofindia/status/737902081365921792 …,"app people even come in ny times
https://twitter.com/timesofindia/status/737902081365921792 …"
"Kitne Hafeez out karoge, har pavillion se ek aur Hafeez niklega.","how many hafeez will you out, one more hafeez will get out of each pavilion"
Toss Hum Ne jita Hai Match Bhi Hum Hi Jitenge ! â€” watching Pakistan vs India,"we won toss, we will win the match too! watching pakistan vs india"
"kya baat bhai, sahi farmaya hai. Sukh se sadhu bhi nahi ban sakte, thanks to responsibilities","what a statement brother! one cannot become a monk with happiness, thanks to responsibilities"
"miya suna h uttam nagar me aap ki daru pakdi gayi h ,mood kharab ho gaya be ,,,,","i have heard that your liquior was caught in uttam nagar, this news ruined my mood"
@someUSER how does it compare to diablo iii (regardless of how fair that comparison may be) ?,@someUSER how does it compare to diablo iii (regardless of how fair that comparison may be) ?
Duniya chale aghaadi toh main chalu pichaadi - Karan Johar,when the world is moving forward i move backward - karan johar 
@coolfunnytshirt L guard to abhi se pehan rakha hai. Waise maine Dale Steyn ko ek chakka to marna hi hai.,@coolfunnytshirt wearing l guard by now. by the way i want to hit a six agains dayle steyn
salman bhai muje ek gaddi gift krde yr ?,salman brother please gift a car to me ?
"Chalo koi na hota hai, ladkon ko aise aage ruka kar mat rakhna. Ok?","come on it happens, do not stop the boys like this. okay"
hastag kidhar hai? #FeministMovies,Where is the hashtag? #FeministMovies
@pacificleo Crafts Museum . Bhairon road . Delhi .,@pacificleo Crafts Museum . Bhairon road . Delhi .
@Rudramukhi mein to pyaar ki baat kar raha tha ,)
@andredecunha fans ? You really think there are fans already ? Arsenal really isn't that popular ,)
Aur ladkiyo ki saari life unhi cheezo ko dhoondne me https://twitter.com/Miss_Woww/status/778498942929559552 …,girls spend their entire lives in search of these things https://twitter.com/Miss_Woww/status/778498942929559552 …
"LOL! Bhikari ki bheek, jo mili woh theek",laugh out loud! whatever beggary you got from beggar is okay(sufficient)
i've seen every denzel washington movie and flight has @someUSER in it too  !  i miss that kid  !  but i'm in that theatre tomorrow  !,@sayshardik @Funadrius @SaleemChikna @jessejulka haan harani yahan par bhi footage
@its_ayeshaa @MaskedSRKFan @Sadiatistic mein toh twitter pe hi tweet raha hun,@its_ayeshaa @MaskedSRKFan @Sadiatistic I am tweeting on tweeter
"Hadd hai yaar, ghar jaakar so jao. Desh ko zaroorat hai ke aap ghar se baahar na nikle.https://twitter.com/OfficeOfRG/status/694134050936766465 …","It is the limit mate, go home and sleep. Nation needs that you don't step out of your home. https://twitter.com/OfficeOfRG/status/694134050936766465"
"Kalamwali bai theek kehti thi, jo kog 1947 se Quraan aur Bible padh kar nahi jaage woh tumhara akhbar padh kar kya jagenge? #Nana #OneSide",pensive woman was right when she said those who didnt wake up after reading quraan and bible after 1947 how will they wake up now?  #Nana #OneSide
"Banayega - Make in India "" phir ayega Mann main koi updesh",will implement Made in India. then there would be preaching in mind.
"bas aise hi, magar kabhi ghamand nahi kiya",just like that but never boasted
@SritikaDhar Aisa kya hogaya?,@SritikaDhar what happened to you?
"aur mario ki 3rd stage me  , sidhi par batthak atka kr life bdana .  .  . ","in the third stage of mario, sit on the ladder and increase your health."
cc @IncomeTaxIndia har roz she is debiting money. IT team ko bhejna zara..https://twitter.com/divya_16_/status/811500144038289408 …,cc @IncomeTaxIndia everyday she is debiting money. please send the IT team..https://twitter.com/divya_16_/status/811500144038289408 …
chocolate nai diya re .  .  .,you didn't gave me chocolate
@Miss_Ankiita khud duniya se flirt karti rehti hai,@Miss_Ankiita is flirting with the whole world
"Universal truth is, sab chutiye hai.",this is universal truth that all are fool
@ek_samosa_dena @friendlii_ghost ab tak bambai ke 5 bar mein hum par ban lagaya hua hai,@ek_samosa_dena @friendlii_ghost till now over 5 bars has banned me from entering
aap bhool gaye humko :(,you’ve forgotten me.
"guddu world cup khatam na ho jaye tab tak tu bahar mat jana ....,","don't go outside guddu, untilthe world cup is over"
"Rajiv Gandhi ne apni will nahin ki thi. Isliye 2014 tak cheezen unki maa, biwi aur bachchon ke naam ho rahi thi #RememberingRajiv","rajiv gandhi hasn't written his will. that is why till 2014 everything he belogs was given to his mother, wife, and his kids.#RememberingRajiv"
@sonisinghall lag raha* hai,looks like @sonisinghall
"Hatto ji, yahan bolne sharm aayegi!","No ma’am, it will be embarrassing to say here."
@retardedwriter @TheVacuumHead LOL..bandh karonye nanga naach. Isse baat mat kar ye shaitaan ki beti hai.,@retardedwriter @TheVacuumHead lol..stop doing this bad deed. don't talk to her she is very bad girl.
@BABURAO_ sure. Bahut badi size hai,@BABURAO_ sure. It's too large.
Shikhar Dhawan.. World Cup ke liye kuch bacha le bhai..,shikhar dhawan save some runs to score for worldcup
@GentlemenX Hum bhabhi pe line nahi maarte.. Pheron ke time phool maarte hai.. @byomkesbakshi,@ Gentlemen we do not hit the line on the bhi .. we beat the flowers at the time of the rounds .. @Byomkesbakashi
"Mind : ""bohot time waste ho gaya.. kuch kaam kar lete hai""

Twitter :pic.twitter.com/VoQVb3RGYM","mind : ""lot of time has been wasted. let's do some work.""

twitter :pic.twitter.com/VoQVb3RGYM"
@barkhasbutt @ashutosh83B Delhi aakar bigad gayi hai,"@barkhasbutt @ashutosh83B after coming to delhi, she got spoilt."
"Nehru: Bapu kuch saal baad tere ghar me Tushar paida hoga

Gandhi: Hahaha..Rahul Gandhi.. 
Awaaz neeche 

N: Hahahapic.twitter.com/F2M2KzdXEj","nehru: bapu, after some years tushar will take birth in your home. gandhi: rahul gandhi. keep your voice low. pic.twitter.com/F2M2KzdXEj"
"project ki deadline par daudte the ,  baki time to  "" are kar lenge bahut time he ""  .  .  .  .  .  .  .  .  .  . ","Were used to run on the deadline days, on other days - ""Will do it, have too much time""."
"Kudos @TimesNow & Arnab, inki itni jalli hai ke bardaasht nahi ho raha.https://twitter.com/msisodia/status/778993405493817344 …","kudos @TimesNow & arnab, they are so annoyed that they can't believe it. https://twitter.com/msisodia/status/778993405493817344 …"
Gujjar movement ki yaade taaza ho gayeehttps://twitter.com/timesofindia/status/636437437762240513 …,gujjar movement's memories freshened up https://twitter.com/timesofindia/status/636437437762240513 …
Tujhe yaad na meri aayee..,you forgot me
"Pic 1. Kyun chalti hai pawan
Pic 2. Kyun jhoome hai gagan
Pic 3. Kyun machalta hai mann
Pic 4. Na tum jaano na humpic.twitter.com/ptB2R2HLLc","pic 1: why does the wind blows?
pic 2: why is the sky swinging?
pic 3: why i am fumbling?
pic 4: neither do you know, nor do i pic.twitter.com/ptB2R2HLLc"
@nimrah307 Aisy relationships ko breakup hi hona chahy jo gudmorning aur gudnigh k mauhtaj hn :-p,@nimrah307 Such relationships which depend on Good morning and Good Night wishes deserve a break-up.
@bhaiyyajispeaks Waaah yaar.. ye huee na baat #JoinHands4Sameer,"@bhaiyyajispeaks wow dear, this is the thing #JoinHands4Sameer"
This is bullshit. Y no strict rule is coming. @narendramodi kya sote rahoge. Yaha maa beti behan sab rape ka shikaar banti rahrngi. Band karo yaar. Sarkaar ki dukaan.,This is bullshit. Y no strict rule is coming. @narendramodi kya sote rahoge. Yaha maa beti behan sab rape ka shikaar banti rahrngi. Band karo yaar. Sarkaar ki dukaan.
Mujhe toh lagta hai Sarkaar nayi schemes laati hi hai Bachchan sahab ko Ambassador banane ke liye. #GST,i think the government brings new schemes just to make Bachchan sir the ambassador. #GST
@upadhayay03 nehin bhula yaar ... yahan koi yaad nehin karta tha ta aana chhod diya,@upadhayay03 i didn't forget here nobody remembers that's why i left it 
"police aur master ke haath me danda dekh kar aadmi actor ,  surgeon ,  lawyer sab ban jaaeta hai .  .  .  :-p","having seen a stick in the hand of the police and the master, man becomes actor, surgeon, lawyer, everything."
